@relation 'segment-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R1,3-5,7'

@attribute region-centroid-row {'\'(-inf-0.127083]\'','\'(0.127083-0.18125]\'','\'(0.18125-0.222917]\'','\'(0.222917-0.29375]\'','\'(0.29375-0.439583]\'','\'(0.439583-0.49375]\'','\'(0.49375-0.577083]\'','\'(0.577083-0.597917]\'','\'(0.597917-0.61875]\'','\'(0.61875-0.627083]\'','\'(0.627083-0.8375]\'','\'(0.8375-inf)\''}
@attribute vedge-mean {'\'(-inf-0.019231]\'','\'(0.019231-0.032967]\'','\'(0.032967-0.06044]\'','\'(0.06044-0.129121]\'','\'(0.129121-0.255495]\'','\'(0.255495-0.472528]\'','\'(0.472528-inf)\''}
@attribute hedge-mean {'\'(-inf-0.021097]\'','\'(0.021097-0.037975]\'','\'(0.037975-0.054852]\'','\'(0.054852-0.103375]\'','\'(0.103375-0.145569]\'','\'(0.145569-0.225738]\'','\'(0.225738-inf)\''}
@attribute hedge-sd {'\'(-inf-0.002356]\'','\'(0.002356-0.022173]\'','\'(0.022173-0.044346]\'','\'(0.044346-0.07306]\'','\'(0.07306-0.126518]\'','\'(0.126518-inf)\''}
@attribute intensity-mean {'\'(-inf-0.00142]\'','\'(0.00142-0.02724]\'','\'(0.02724-0.034082]\'','\'(0.034082-0.04441]\'','\'(0.04441-0.050994]\'','\'(0.050994-0.122903]\'','\'(0.122903-0.199975]\'','\'(0.199975-0.220631]\'','\'(0.220631-0.326751]\'','\'(0.326751-0.443198]\'','\'(0.443198-0.562744]\'','\'(0.562744-inf)\''}
@attribute rawred-mean {'\'(-inf-0.027958]\'','\'(0.027958-0.045786]\'','\'(0.045786-0.062804]\'','\'(0.062804-0.070908]\'','\'(0.070908-0.113047]\'','\'(0.113047-0.134927]\'','\'(0.134927-0.175851]\'','\'(0.175851-0.198946]\'','\'(0.198946-0.30389]\'','\'(0.30389-0.410049]\'','\'(0.410049-0.499595]\'','\'(0.499595-inf)\''}
@attribute rawblue-mean {'\'(-inf-0.00405]\'','\'(0.00405-0.026141]\'','\'(0.026141-0.040869]\'','\'(0.040869-0.058542]\'','\'(0.058542-0.138807]\'','\'(0.138807-0.261045]\'','\'(0.261045-0.293078]\'','\'(0.293078-0.331001]\'','\'(0.331001-0.515832]\'','\'(0.515832-0.677465]\'','\'(0.677465-inf)\''}
@attribute rawgreen-mean {'\'(-inf-0.00039]\'','\'(0.00039-0.012081]\'','\'(0.012081-0.015199]\'','\'(0.015199-0.029228]\'','\'(0.029228-0.061185]\'','\'(0.061185-0.087685]\'','\'(0.087685-0.111068]\'','\'(0.111068-0.157443]\'','\'(0.157443-0.186282]\'','\'(0.186282-0.211223]\'','\'(0.211223-0.274356]\'','\'(0.274356-0.390879]\'','\'(0.390879-0.499219]\'','\'(0.499219-inf)\''}
@attribute exred-mean {'\'(-inf-0.340821]\'','\'(0.340821-0.430665]\'','\'(0.430665-0.481446]\'','\'(0.481446-0.614258]\'','\'(0.614258-0.641602]\'','\'(0.641602-0.708008]\'','\'(0.708008-0.817383]\'','\'(0.817383-0.850586]\'','\'(0.850586-0.875977]\'','\'(0.875977-inf)\''}
@attribute exblue-mean {'\'(-inf-0.122196]\'','\'(0.122196-0.141086]\'','\'(0.141086-0.18595]\'','\'(0.18595-0.220189]\'','\'(0.220189-0.283944]\'','\'(0.283944-0.373672]\'','\'(0.373672-0.44333]\'','\'(0.44333-0.583825]\'','\'(0.583825-0.623967]\'','\'(0.623967-0.726682]\'','\'(0.726682-inf)\''}
@attribute exgreen-mean {'\'(-inf-0.139604]\'','\'(0.139604-0.238614]\'','\'(0.238614-0.29604]\'','\'(0.29604-0.349506]\'','\'(0.349506-0.385149]\'','\'(0.385149-0.432673]\'','\'(0.432673-0.452476]\'','\'(0.452476-0.49208]\'','\'(0.49208-0.517822]\'','\'(0.517822-0.579208]\'','\'(0.579208-0.619802]\'','\'(0.619802-inf)\''}
@attribute value-mean {'\'(-inf-0.00405]\'','\'(0.00405-0.034241]\'','\'(0.034241-0.043078]\'','\'(0.043078-0.056333]\'','\'(0.056333-0.104197]\'','\'(0.104197-0.13218]\'','\'(0.13218-0.155744]\'','\'(0.155744-0.261045]\'','\'(0.261045-0.293078]\'','\'(0.293078-0.331001]\'','\'(0.331001-0.515832]\'','\'(0.515832-0.677465]\'','\'(0.677465-inf)\''}
@attribute saturation-mean {'\'(-inf-0.074345]\'','\'(0.074345-0.117533]\'','\'(0.117533-0.221704]\'','\'(0.221704-0.222832]\'','\'(0.222832-0.244509]\'','\'(0.244509-0.262684]\'','\'(0.262684-0.275162]\'','\'(0.275162-0.314394]\'','\'(0.314394-0.35624]\'','\'(0.35624-0.358034]\'','\'(0.358034-0.363336]\'','\'(0.363336-0.625142]\'','\'(0.625142-0.716915]\'','\'(0.716915-inf)\''}
@attribute hue-mean {'\'(-inf-0.115039]\'','\'(0.115039-0.15246]\'','\'(0.15246-0.160437]\'','\'(0.160437-0.18309]\'','\'(0.18309-0.223179]\'','\'(0.223179-0.292748]\'','\'(0.292748-0.52664]\'','\'(0.52664-0.703987]\'','\'(0.703987-inf)\''}
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
'\'(0.627083-0.8375]\'','\'(0.255495-0.472528]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.326751-0.443198]\'','\'(0.30389-0.410049]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.481446-0.614258]\'','\'(0.44333-0.583825]\'','\'(0.238614-0.29604]\'','\'(0.331001-0.515832]\'','\'(0.275162-0.314394]\'','\'(0.18309-0.223179]\'',path
'\'(0.627083-0.8375]\'','\'(0.06044-0.129121]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.050994-0.122903]\'','\'(0.070908-0.113047]\'','\'(0.058542-0.138807]\'','\'(0.087685-0.111068]\'','\'(0.708008-0.817383]\'','\'(0.18595-0.220189]\'','\'(0.579208-0.619802]\'','\'(0.104197-0.13218]\'','\'(0.314394-0.35624]\'','\'(-inf-0.115039]\'',grass
'\'(0.49375-0.577083]\'','\'(0.06044-0.129121]\'','\'(0.037975-0.054852]\'','\'(0.002356-0.022173]\'','\'(0.00142-0.02724]\'','\'(-inf-0.027958]\'','\'(0.040869-0.058542]\'','\'(0.00039-0.012081]\'','\'(0.708008-0.817383]\'','\'(0.220189-0.283944]\'','\'(0.49208-0.517822]\'','\'(0.034241-0.043078]\'','\'(0.716915-inf)\'','\'(0.160437-0.18309]\'',window
'\'(0.8375-inf)\'','\'(0.129121-0.255495]\'','\'(0.145569-0.225738]\'','\'(0.126518-inf)\'','\'(0.050994-0.122903]\'','\'(0.027958-0.045786]\'','\'(0.026141-0.040869]\'','\'(0.061185-0.087685]\'','\'(0.708008-0.817383]\'','\'(-inf-0.122196]\'','\'(0.619802-inf)\'','\'(0.056333-0.104197]\'','\'(0.363336-0.625142]\'','\'(0.703987-inf)\'',grass
'\'(-inf-0.127083]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.044346-0.07306]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.349506-0.385149]\'','\'(0.677465-inf)\'','\'(0.117533-0.221704]\'','\'(0.115039-0.15246]\'',sky
'\'(0.49375-0.577083]\'','\'(0.06044-0.129121]\'','\'(0.021097-0.037975]\'','\'(0.022173-0.044346]\'','\'(0.00142-0.02724]\'','\'(-inf-0.027958]\'','\'(0.00405-0.026141]\'','\'(0.00039-0.012081]\'','\'(0.850586-0.875977]\'','\'(0.141086-0.18595]\'','\'(0.517822-0.579208]\'','\'(0.00405-0.034241]\'','\'(0.716915-inf)\'','\'(0.223179-0.292748]\'',window
'\'(0.127083-0.18125]\'','\'(0.06044-0.129121]\'','\'(0.103375-0.145569]\'','\'(0.022173-0.044346]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.726682-inf)\'','\'(0.139604-0.238614]\'','\'(0.677465-inf)\'','\'(0.275162-0.314394]\'','\'(0.115039-0.15246]\'',sky
'\'(0.29375-0.439583]\'','\'(0.032967-0.06044]\'','\'(0.021097-0.037975]\'','\'(0.002356-0.022173]\'','\'(0.034082-0.04441]\'','\'(0.045786-0.062804]\'','\'(0.040869-0.058542]\'','\'(0.015199-0.029228]\'','\'(0.875977-inf)\'','\'(0.141086-0.18595]\'','\'(0.452476-0.49208]\'','\'(0.043078-0.056333]\'','\'(0.363336-0.625142]\'','\'(0.292748-0.52664]\'',brickface
'\'(0.222917-0.29375]\'','\'(0.06044-0.129121]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.220631-0.326751]\'','\'(0.198946-0.30389]\'','\'(0.293078-0.331001]\'','\'(0.211223-0.274356]\'','\'(0.641602-0.708008]\'','\'(0.373672-0.44333]\'','\'(0.29604-0.349506]\'','\'(0.293078-0.331001]\'','\'(0.262684-0.275162]\'','\'(0.18309-0.223179]\'',cement
'\'(-inf-0.127083]\'','\'(0.019231-0.032967]\'','\'(0.103375-0.145569]\'','\'(0.022173-0.044346]\'','\'(0.443198-0.562744]\'','\'(0.410049-0.499595]\'','\'(0.515832-0.677465]\'','\'(0.390879-0.499219]\'','\'(0.340821-0.430665]\'','\'(0.623967-0.726682]\'','\'(0.139604-0.238614]\'','\'(0.515832-0.677465]\'','\'(0.275162-0.314394]\'','\'(0.160437-0.18309]\'',cement
'\'(0.627083-0.8375]\'','\'(0.129121-0.255495]\'','\'(0.145569-0.225738]\'','\'(0.07306-0.126518]\'','\'(0.326751-0.443198]\'','\'(0.30389-0.410049]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.481446-0.614258]\'','\'(0.44333-0.583825]\'','\'(0.238614-0.29604]\'','\'(0.331001-0.515832]\'','\'(0.275162-0.314394]\'','\'(0.18309-0.223179]\'',path
'\'(0.627083-0.8375]\'','\'(0.06044-0.129121]\'','\'(0.145569-0.225738]\'','\'(0.126518-inf)\'','\'(0.050994-0.122903]\'','\'(0.062804-0.070908]\'','\'(0.040869-0.058542]\'','\'(0.087685-0.111068]\'','\'(0.708008-0.817383]\'','\'(-inf-0.122196]\'','\'(0.619802-inf)\'','\'(0.056333-0.104197]\'','\'(0.363336-0.625142]\'','\'(0.703987-inf)\'',grass
'\'(0.222917-0.29375]\'','\'(0.129121-0.255495]\'','\'(0.145569-0.225738]\'','\'(0.044346-0.07306]\'','\'(0.122903-0.199975]\'','\'(0.175851-0.198946]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.708008-0.817383]\'','\'(0.373672-0.44333]\'','\'(0.238614-0.29604]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.223179-0.292748]\'',brickface
'\'(0.627083-0.8375]\'','\'(0.255495-0.472528]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.326751-0.443198]\'','\'(0.30389-0.410049]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.481446-0.614258]\'','\'(0.44333-0.583825]\'','\'(0.139604-0.238614]\'','\'(0.331001-0.515832]\'','\'(0.275162-0.314394]\'','\'(0.18309-0.223179]\'',path
'\'(0.439583-0.49375]\'','\'(0.019231-0.032967]\'','\'(0.037975-0.054852]\'','\'(0.002356-0.022173]\'','\'(0.034082-0.04441]\'','\'(0.045786-0.062804]\'','\'(0.040869-0.058542]\'','\'(0.015199-0.029228]\'','\'(0.875977-inf)\'','\'(0.141086-0.18595]\'','\'(0.452476-0.49208]\'','\'(0.043078-0.056333]\'','\'(0.363336-0.625142]\'','\'(0.292748-0.52664]\'',brickface
'\'(0.222917-0.29375]\'','\'(0.129121-0.255495]\'','\'(0.103375-0.145569]\'','\'(0.07306-0.126518]\'','\'(0.326751-0.443198]\'','\'(0.30389-0.410049]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.614258-0.641602]\'','\'(0.44333-0.583825]\'','\'(0.238614-0.29604]\'','\'(0.331001-0.515832]\'','\'(0.262684-0.275162]\'','\'(0.18309-0.223179]\'',cement
'\'(-inf-0.127083]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.044346-0.07306]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.349506-0.385149]\'','\'(0.677465-inf)\'','\'(0.222832-0.244509]\'','\'(0.115039-0.15246]\'',sky
'\'(0.439583-0.49375]\'','\'(0.032967-0.06044]\'','\'(0.037975-0.054852]\'','\'(0.002356-0.022173]\'','\'(0.04441-0.050994]\'','\'(0.045786-0.062804]\'','\'(0.040869-0.058542]\'','\'(0.015199-0.029228]\'','\'(0.875977-inf)\'','\'(0.141086-0.18595]\'','\'(0.452476-0.49208]\'','\'(0.043078-0.056333]\'','\'(0.363336-0.625142]\'','\'(0.292748-0.52664]\'',brickface
'\'(0.29375-0.439583]\'','\'(0.129121-0.255495]\'','\'(0.054852-0.103375]\'','\'(0.07306-0.126518]\'','\'(0.122903-0.199975]\'','\'(0.134927-0.175851]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.850586-0.875977]\'','\'(0.283944-0.373672]\'','\'(0.29604-0.349506]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.223179-0.292748]\'',brickface
'\'(0.439583-0.49375]\'','\'(0.032967-0.06044]\'','\'(0.021097-0.037975]\'','\'(0.002356-0.022173]\'','\'(0.034082-0.04441]\'','\'(0.045786-0.062804]\'','\'(0.040869-0.058542]\'','\'(0.015199-0.029228]\'','\'(0.875977-inf)\'','\'(0.141086-0.18595]\'','\'(0.452476-0.49208]\'','\'(0.043078-0.056333]\'','\'(0.363336-0.625142]\'','\'(0.292748-0.52664]\'',brickface
'\'(0.29375-0.439583]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.022173-0.044346]\'','\'(0.122903-0.199975]\'','\'(0.113047-0.134927]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.481446-0.614258]\'','\'(0.44333-0.583825]\'','\'(0.349506-0.385149]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.160437-0.18309]\'',window
'\'(0.439583-0.49375]\'','\'(0.032967-0.06044]\'','\'(0.054852-0.103375]\'','\'(0.022173-0.044346]\'','\'(0.04441-0.050994]\'','\'(0.045786-0.062804]\'','\'(0.040869-0.058542]\'','\'(0.015199-0.029228]\'','\'(0.875977-inf)\'','\'(0.141086-0.18595]\'','\'(0.452476-0.49208]\'','\'(0.043078-0.056333]\'','\'(0.363336-0.625142]\'','\'(0.292748-0.52664]\'',brickface
'\'(0.49375-0.577083]\'','\'(0.06044-0.129121]\'','\'(0.021097-0.037975]\'','\'(0.002356-0.022173]\'','\'(0.050994-0.122903]\'','\'(0.027958-0.045786]\'','\'(0.058542-0.138807]\'','\'(0.029228-0.061185]\'','\'(0.641602-0.708008]\'','\'(0.283944-0.373672]\'','\'(0.432673-0.452476]\'','\'(0.104197-0.13218]\'','\'(0.625142-0.716915]\'','\'(0.160437-0.18309]\'',window
'\'(0.29375-0.439583]\'','\'(0.255495-0.472528]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.122903-0.199975]\'','\'(0.134927-0.175851]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.817383-0.850586]\'','\'(0.283944-0.373672]\'','\'(0.238614-0.29604]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.223179-0.292748]\'',brickface
'\'(0.49375-0.577083]\'','\'(-inf-0.019231]\'','\'(-inf-0.021097]\'','\'(-inf-0.002356]\'','\'(-inf-0.00142]\'','\'(-inf-0.027958]\'','\'(-inf-0.00405]\'','\'(-inf-0.00039]\'','\'(0.850586-0.875977]\'','\'(0.122196-0.141086]\'','\'(0.579208-0.619802]\'','\'(-inf-0.00405]\'','\'(-inf-0.074345]\'','\'(0.52664-0.703987]\'',window
'\'(0.18125-0.222917]\'','\'(0.019231-0.032967]\'','\'(0.021097-0.037975]\'','\'(0.022173-0.044346]\'','\'(0.04441-0.050994]\'','\'(0.027958-0.045786]\'','\'(0.058542-0.138807]\'','\'(0.015199-0.029228]\'','\'(0.708008-0.817383]\'','\'(0.283944-0.373672]\'','\'(0.452476-0.49208]\'','\'(0.056333-0.104197]\'','\'(0.625142-0.716915]\'','\'(0.18309-0.223179]\'',window
'\'(0.29375-0.439583]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.022173-0.044346]\'','\'(0.122903-0.199975]\'','\'(0.134927-0.175851]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.850586-0.875977]\'','\'(0.283944-0.373672]\'','\'(0.29604-0.349506]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.223179-0.292748]\'',brickface
'\'(0.29375-0.439583]\'','\'(0.032967-0.06044]\'','\'(0.054852-0.103375]\'','\'(0.044346-0.07306]\'','\'(0.034082-0.04441]\'','\'(0.045786-0.062804]\'','\'(0.040869-0.058542]\'','\'(0.015199-0.029228]\'','\'(0.875977-inf)\'','\'(0.141086-0.18595]\'','\'(0.452476-0.49208]\'','\'(0.043078-0.056333]\'','\'(0.363336-0.625142]\'','\'(0.292748-0.52664]\'',brickface
'\'(-inf-0.127083]\'','\'(0.032967-0.06044]\'','\'(0.054852-0.103375]\'','\'(0.002356-0.022173]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.726682-inf)\'','\'(0.139604-0.238614]\'','\'(0.677465-inf)\'','\'(0.275162-0.314394]\'','\'(0.115039-0.15246]\'',sky
'\'(0.29375-0.439583]\'','\'(0.129121-0.255495]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.122903-0.199975]\'','\'(0.113047-0.134927]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.708008-0.817383]\'','\'(0.220189-0.283944]\'','\'(0.452476-0.49208]\'','\'(0.13218-0.155744]\'','\'(0.314394-0.35624]\'','\'(0.160437-0.18309]\'',window
'\'(0.29375-0.439583]\'','\'(0.032967-0.06044]\'','\'(-inf-0.021097]\'','\'(0.002356-0.022173]\'','\'(0.122903-0.199975]\'','\'(0.070908-0.113047]\'','\'(0.138807-0.261045]\'','\'(0.087685-0.111068]\'','\'(0.614258-0.641602]\'','\'(0.373672-0.44333]\'','\'(0.385149-0.432673]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.160437-0.18309]\'',window
'\'(0.18125-0.222917]\'','\'(0.06044-0.129121]\'','\'(0.103375-0.145569]\'','\'(0.044346-0.07306]\'','\'(0.122903-0.199975]\'','\'(0.113047-0.134927]\'','\'(0.138807-0.261045]\'','\'(0.087685-0.111068]\'','\'(0.817383-0.850586]\'','\'(0.283944-0.373672]\'','\'(0.349506-0.385149]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.223179-0.292748]\'',brickface
'\'(0.29375-0.439583]\'','\'(0.032967-0.06044]\'','\'(0.037975-0.054852]\'','\'(0.022173-0.044346]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(0.340821-0.430665]\'','\'(0.44333-0.583825]\'','\'(0.385149-0.432673]\'','\'(0.677465-inf)\'','\'(0.117533-0.221704]\'','\'(0.115039-0.15246]\'',sky
'\'(0.627083-0.8375]\'','\'(0.129121-0.255495]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.220631-0.326751]\'','\'(0.198946-0.30389]\'','\'(0.293078-0.331001]\'','\'(0.211223-0.274356]\'','\'(0.641602-0.708008]\'','\'(0.373672-0.44333]\'','\'(0.29604-0.349506]\'','\'(0.293078-0.331001]\'','\'(0.262684-0.275162]\'','\'(0.18309-0.223179]\'',path
'\'(0.49375-0.577083]\'','\'(-inf-0.019231]\'','\'(-inf-0.021097]\'','\'(-inf-0.002356]\'','\'(-inf-0.00142]\'','\'(-inf-0.027958]\'','\'(-inf-0.00405]\'','\'(-inf-0.00039]\'','\'(0.850586-0.875977]\'','\'(0.122196-0.141086]\'','\'(0.579208-0.619802]\'','\'(-inf-0.00405]\'','\'(-inf-0.074345]\'','\'(0.52664-0.703987]\'',foliage
'\'(0.18125-0.222917]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.022173-0.044346]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.29604-0.349506]\'','\'(0.677465-inf)\'','\'(0.117533-0.221704]\'','\'(0.115039-0.15246]\'',sky
'\'(0.439583-0.49375]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.044346-0.07306]\'','\'(0.220631-0.326751]\'','\'(0.198946-0.30389]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.481446-0.614258]\'','\'(0.44333-0.583825]\'','\'(0.238614-0.29604]\'','\'(0.331001-0.515832]\'','\'(0.314394-0.35624]\'','\'(0.160437-0.18309]\'',cement
'\'(0.627083-0.8375]\'','\'(0.129121-0.255495]\'','\'(0.145569-0.225738]\'','\'(0.126518-inf)\'','\'(0.326751-0.443198]\'','\'(0.30389-0.410049]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.481446-0.614258]\'','\'(0.44333-0.583825]\'','\'(0.139604-0.238614]\'','\'(0.331001-0.515832]\'','\'(0.275162-0.314394]\'','\'(0.18309-0.223179]\'',path
'\'(-inf-0.127083]\'','\'(0.06044-0.129121]\'','\'(0.037975-0.054852]\'','\'(0.002356-0.022173]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.385149-0.432673]\'','\'(0.677465-inf)\'','\'(0.244509-0.262684]\'','\'(-inf-0.115039]\'',sky
'\'(0.222917-0.29375]\'','\'(0.06044-0.129121]\'','\'(0.037975-0.054852]\'','\'(0.022173-0.044346]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.726682-inf)\'','\'(-inf-0.139604]\'','\'(0.677465-inf)\'','\'(0.314394-0.35624]\'','\'(0.15246-0.160437]\'',sky
'\'(0.127083-0.18125]\'','\'(0.129121-0.255495]\'','\'(0.225738-inf)\'','\'(0.07306-0.126518]\'','\'(0.122903-0.199975]\'','\'(0.134927-0.175851]\'','\'(0.138807-0.261045]\'','\'(0.111068-0.157443]\'','\'(0.708008-0.817383]\'','\'(0.283944-0.373672]\'','\'(0.29604-0.349506]\'','\'(0.155744-0.261045]\'','\'(0.363336-0.625142]\'','\'(0.223179-0.292748]\'',brickface
'\'(0.127083-0.18125]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.044346-0.07306]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.349506-0.385149]\'','\'(0.677465-inf)\'','\'(0.244509-0.262684]\'','\'(0.115039-0.15246]\'',sky
'\'(0.8375-inf)\'','\'(0.129121-0.255495]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.050994-0.122903]\'','\'(0.062804-0.070908]\'','\'(0.058542-0.138807]\'','\'(0.087685-0.111068]\'','\'(0.708008-0.817383]\'','\'(-inf-0.122196]\'','\'(0.619802-inf)\'','\'(0.056333-0.104197]\'','\'(0.363336-0.625142]\'','\'(0.703987-inf)\'',grass
'\'(0.627083-0.8375]\'','\'(0.129121-0.255495]\'','\'(0.225738-inf)\'','\'(0.126518-inf)\'','\'(0.326751-0.443198]\'','\'(0.30389-0.410049]\'','\'(0.331001-0.515832]\'','\'(0.274356-0.390879]\'','\'(0.481446-0.614258]\'','\'(0.583825-0.623967]\'','\'(0.139604-0.238614]\'','\'(0.331001-0.515832]\'','\'(0.275162-0.314394]\'','\'(0.18309-0.223179]\'',path
'\'(-inf-0.127083]\'','\'(0.06044-0.129121]\'','\'(0.037975-0.054852]\'','\'(0.044346-0.07306]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.349506-0.385149]\'','\'(0.677465-inf)\'','\'(0.222832-0.244509]\'','\'(0.115039-0.15246]\'',sky
'\'(0.29375-0.439583]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.002356-0.022173]\'','\'(0.00142-0.02724]\'','\'(-inf-0.027958]\'','\'(0.026141-0.040869]\'','\'(0.00039-0.012081]\'','\'(0.708008-0.817383]\'','\'(0.18595-0.220189]\'','\'(0.517822-0.579208]\'','\'(0.00405-0.034241]\'','\'(0.716915-inf)\'','\'(0.15246-0.160437]\'',foliage
'\'(0.29375-0.439583]\'','\'(0.06044-0.129121]\'','\'(0.054852-0.103375]\'','\'(0.022173-0.044346]\'','\'(0.00142-0.02724]\'','\'(-inf-0.027958]\'','\'(0.040869-0.058542]\'','\'(0.00039-0.012081]\'','\'(0.708008-0.817383]\'','\'(0.220189-0.283944]\'','\'(0.49208-0.517822]\'','\'(0.034241-0.043078]\'','\'(0.716915-inf)\'','\'(0.160437-0.18309]\'',foliage
'\'(0.29375-0.439583]\'','\'(0.255495-0.472528]\'','\'(0.037975-0.054852]\'','\'(0.002356-0.022173]\'','\'(0.034082-0.04441]\'','\'(-inf-0.027958]\'','\'(0.058542-0.138807]\'','\'(0.015199-0.029228]\'','\'(0.708008-0.817383]\'','\'(0.220189-0.283944]\'','\'(0.452476-0.49208]\'','\'(0.056333-0.104197]\'','\'(0.716915-inf)\'','\'(0.18309-0.223179]\'',window
'\'(-inf-0.127083]\'','\'(0.06044-0.129121]\'','\'(0.037975-0.054852]\'','\'(0.002356-0.022173]\'','\'(0.562744-inf)\'','\'(0.499595-inf)\'','\'(0.677465-inf)\'','\'(0.499219-inf)\'','\'(-inf-0.340821]\'','\'(0.623967-0.726682]\'','\'(0.29604-0.349506]\'','\'(0.677465-inf)\'','\'(0.117533-0.221704]\'','\'(0.115039-0.15246]\'',sky
'\'(0.439583-0.49375]\'','\'(0.032967-0.06044]\'','\'(0.021097-0.037975]\'','\'(0.002356-0.022173]\'','\'(0.00142-0.02724]\'','\'(-inf-0.027958]\'','\'(0.00405-0.026141]\'','\'(-inf-0.00039]\'','\'(0.817383-0.850586]\'','\'(0.141086-0.18595]\'','\'(0.517822-0.579208]\'','\'(0.00405-0.034241]\'','\'(0.716915-inf)\'','\'(0.160437-0.18309]\'',foliage
